X                    Y                    Z                    Dose [pSv/h]                             Rel. Error                 


-2415,63             322,39               -614,45              3,025948E+10                             4,629836E-03               
-2405,34             322,39               -614,45              3,045457E+10                             4,684276E-03               
-2395,05             322,39               -614,45              3,064826E+10                             4,732844E-03               
-2384,76             322,39               -614,45              3,084635E+10                             4,7903E-03                 
-2374,47             322,39               -614,45              3,10442E+10                              4,841638E-03               
-2364,18             322,39               -614,45              3,124348E+10                             4,897767E-03               
-2353,89             322,39               -614,45              3,14433E+10                              4,948524E-03               
-2343,6              322,39               -614,45              3,164688E+10                             5,003588E-03               
-2333,31             322,39               -614,45              3,184552E+10                             5,051901E-03               
-2323,02             322,39               -614,45              3,204746E+10                             5,107136E-03               
-2312,73             322,39               -614,45              3,225072E+10                             5,150893E-03               
-2302,44             322,39               -614,45              3,244986E+10                             5,195806E-03               
-2292,16             322,39               -614,45              3,265371E+10                             5,244861E-03               
-2281,87             322,39               -614,45              3,285411E+10                             5,282697E-03               
-2271,58             322,39               -614,45              3,305684E+10                             5,329043E-03               
-2261,29             322,39               -614,45              3,326061E+10                             5,374726E-03               
-2251                322,39               -614,45              3,34595E+10                              5,409516E-03               
-2240,71             322,39               -614,45              3,366043E+10                             5,443399E-03               
-2230,42             322,39               -614,45              3,385844E+10                             5,474212E-03               
-2220,13             322,39               -614,45              3,405895E+10                             5,506828E-03               
-2209,84             322,39               -614,45              3,425291E+10                             5,528769E-03               
-2199,55             322,39               -614,45              3,445212E+10                             5,555612E-03               
-2189,26             322,39               -614,45              3,464995E+10                             5,586931E-03               
-2178,97             322,39               -614,45              3,484418E+10                             5,603035E-03               
-2168,68             322,39               -614,45              3,503596E+10                             5,619848E-03               
-2158,39             322,39               -614,45              3,522728E+10                             5,634078E-03               
-2148,1              322,39               -614,45              3,541689E+10                             5,646994E-03               
-2137,81             322,39               -614,45              3,560699E+10                             5,660586E-03               
-2127,52             322,39               -614,45              3,578695E+10                             5,657663E-03               
-2117,23             322,39               -614,45              3,597758E+10                             5,676532E-03               
-2415,63             331,74               -614,45              3,026131E+10                             4,610278E-03               
-2405,34             331,74               -614,45              3,045585E+10                             4,663882E-03               
-2395,05             331,74               -614,45              3,06532E+10                              4,718764E-03               
-2384,76             331,74               -614,45              3,08501E+10                              4,771803E-03               
-2374,47             331,74               -614,45              3,104606E+10                             4,821037E-03               
-2364,18             331,74               -614,45              3,124609E+10                             4,874275E-03               
-2353,89             331,74               -614,45              3,144914E+10                             4,934349E-03               
-2343,6              331,74               -614,45              3,164625E+10                             4,978762E-03               
-2333,31             331,74               -614,45              3,18468E+10                              5,032203E-03               
-2323,02             331,74               -614,45              3,204938E+10                             5,08236E-03                
-2312,73             331,74               -614,45              3,224773E+10                             5,124604E-03               
-2302,44             331,74               -614,45              3,245594E+10                             5,181171E-03               
-2292,16             331,74               -614,45              3,265738E+10                             5,226349E-03               
-2281,87             331,74               -614,45              3,285941E+10                             5,268811E-03               
-2271,58             331,74               -614,45              3,306285E+10                             5,315145E-03               
-2261,29             331,74               -614,45              3,326797E+10                             5,357871E-03               
-2251                331,74               -614,45              3,346585E+10                             5,391793E-03               
